#  This is a file for the AB reference system.
#  
#  
#  The columns are: wavelengths, flux reference.
#  With the following units:
#      Angstroms        ,   ergs/s/cm^2/Angstrom
1.261000000000000000e+03 , 6.845682907137254850e-08
1.262000000000000000e+03 , 6.834838262650031631e-08
1.263000000000000000e+03 , 6.824019367214382414e-08
1.264000000000000000e+03 , 6.813226139378202858e-08
1.265000000000000000e+03 , 6.802458498011216143e-08
1.266000000000000000e+03 , 6.791716362303431107e-08
1.267000000000000000e+03 , 6.780999651763637435e-08
1.268000000000000000e+03 , 6.770308286217892916e-08
1.269000000000000000e+03 , 6.759642185808026573e-08
1.270000000000000000e+03 , 6.749001270990140478e-08
1.271000000000000000e+03 , 6.738385462533139351e-08
1.272000000000000000e+03 , 6.727794681517244283e-08
1.273000000000000000e+03 , 6.717228849332531607e-08
1.274000000000000000e+03 , 6.706687887677470439e-08
1.275000000000000000e+03 , 6.696171718557476108e-08
1.276000000000000000e+03 , 6.685680264283467551e-08
1.277000000000000000e+03 , 6.675213447470424708e-08
1.278000000000000000e+03 , 6.664771191035972393e-08
1.279000000000000000e+03 , 6.654353418198956218e-08
1.280000000000000000e+03 , 6.643960052478026459e-08
1.281000000000000000e+03 , 6.633591017690241776e-08
1.282000000000000000e+03 , 6.623246237949672933e-08
1.283000000000000000e+03 , 6.612925637666006514e-08
1.284000000000000000e+03 , 6.602629141543171145e-08
1.285000000000000000e+03 , 6.592356674577963710e-08
1.286000000000000000e+03 , 6.582108162058680866e-08
1.287000000000000000e+03 , 6.571883529563762464e-08
1.288000000000000000e+03 , 6.561682702960436298e-08
1.289000000000000000e+03 , 6.551505608403384025e-08
1.290000000000000000e+03 , 6.541352172333392536e-08
1.291000000000000000e+03 , 6.531222321476034432e-08
1.292000000000000000e+03 , 6.521115982840340566e-08
1.293000000000000000e+03 , 6.511033083717488467e-08
1.294000000000000000e+03 , 6.500973551679490759e-08
1.295000000000000000e+03 , 6.490937314577898146e-08
1.296000000000000000e+03 , 6.480924300542503713e-08
1.297000000000000000e+03 , 6.470934437980060468e-08
1.298000000000000000e+03 , 6.460967655572990936e-08
1.299000000000000000e+03 , 6.451023882278129850e-08
1.300000000000000000e+03 , 6.441103047325443010e-08
1.301000000000000000e+03 , 6.431205080216777907e-08
1.302000000000000000e+03 , 6.421329910724607741e-08
1.303000000000000000e+03 , 6.411477468890787330e-08
1.304000000000000000e+03 , 6.401647685025310363e-08
1.305000000000000000e+03 , 6.391840489705082521e-08
1.306000000000000000e+03 , 6.382055813772691956e-08
1.307000000000000000e+03 , 6.372293588335189035e-08
1.308000000000000000e+03 , 6.362553744762879320e-08
1.309000000000000000e+03 , 6.352836214688109925e-08
1.310000000000000000e+03 , 6.343140930004078377e-08
1.311000000000000000e+03 , 6.333467822863628243e-08
1.312000000000000000e+03 , 6.323816825678073870e-08
1.313000000000000000e+03 , 6.314187871116011891e-08
1.314000000000000000e+03 , 6.304580892102145971e-08
1.315000000000000000e+03 , 6.294995821816130071e-08
1.316000000000000000e+03 , 6.285432593691391872e-08
1.317000000000000000e+03 , 6.275891141413982662e-08
1.318000000000000000e+03 , 6.266371398921435161e-08
1.319000000000000000e+03 , 6.256873300401606798e-08
1.320000000000000000e+03 , 6.247396780291550770e-08
1.321000000000000000e+03 , 6.237941773276385783e-08
1.322000000000000000e+03 , 6.228508214288165796e-08
1.323000000000000000e+03 , 6.219096038504760344e-08
1.324000000000000000e+03 , 6.209705181348745459e-08
1.325000000000000000e+03 , 6.200335578486293261e-08
1.326000000000000000e+03 , 6.190987165826069488e-08
1.327000000000000000e+03 , 6.181659879518138978e-08
1.328000000000000000e+03 , 6.172353655952876432e-08
1.329000000000000000e+03 , 6.163068431759878508e-08
1.330000000000000000e+03 , 6.153804143806885175e-08
1.331000000000000000e+03 , 6.144560729198711662e-08
1.332000000000000000e+03 , 6.135338125276175106e-08
1.333000000000000000e+03 , 6.126136269615039730e-08
1.334000000000000000e+03 , 6.116955100024950112e-08
1.335000000000000000e+03 , 6.107794554548386954e-08
1.336000000000000000e+03 , 6.098654571459624169e-08
1.337000000000000000e+03 , 6.089535089263685975e-08
1.338000000000000000e+03 , 6.080436046695310600e-08
1.339000000000000000e+03 , 6.071357382717921936e-08
1.340000000000000000e+03 , 6.062299036522610447e-08
1.341000000000000000e+03 , 6.053260947527108791e-08
1.342000000000000000e+03 , 6.044243055374787292e-08
1.343000000000000000e+03 , 6.035245299933633531e-08
1.344000000000000000e+03 , 6.026267621295262373e-08
1.345000000000000000e+03 , 6.017309959773910119e-08
1.346000000000000000e+03 , 6.008372255905449827e-08
1.347000000000000000e+03 , 5.999454450446397375e-08
1.348000000000000000e+03 , 5.990556484372934723e-08
1.349000000000000000e+03 , 5.981678298879931858e-08
1.350000000000000000e+03 , 5.972819835379971378e-08
1.351000000000000000e+03 , 5.963981035502390290e-08
1.352000000000000000e+03 , 5.955161841092309893e-08
1.353000000000000000e+03 , 5.946362194209685509e-08
1.354000000000000000e+03 , 5.937582037128350265e-08
1.355000000000000000e+03 , 5.928821312335070122e-08
1.356000000000000000e+03 , 5.920079962528605519e-08
1.357000000000000000e+03 , 5.911357930618767729e-08
1.358000000000000000e+03 , 5.902655159725489766e-08
1.359000000000000000e+03 , 5.893971593177903254e-08
1.360000000000000000e+03 , 5.885307174513408013e-08
1.361000000000000000e+03 , 5.876661847476758852e-08
1.362000000000000000e+03 , 5.868035556019155671e-08
1.363000000000000000e+03 , 5.859428244297325619e-08
1.364000000000000000e+03 , 5.850839856672627758e-08
1.365000000000000000e+03 , 5.842270337710151762e-08
1.366000000000000000e+03 , 5.833719632177821257e-08
1.367000000000000000e+03 , 5.825187685045504434e-08
1.368000000000000000e+03 , 5.816674441484130623e-08
1.369000000000000000e+03 , 5.808179846864810168e-08
1.370000000000000000e+03 , 5.799703846757951003e-08
1.371000000000000000e+03 , 5.791246386932397721e-08
1.372000000000000000e+03 , 5.782807413354554099e-08
1.373000000000000000e+03 , 5.774386872187525480e-08
1.374000000000000000e+03 , 5.765984709790260486e-08
1.375000000000000000e+03 , 5.757600872716693403e-08
1.376000000000000000e+03 , 5.749235307714895158e-08
1.377000000000000000e+03 , 5.740887961726231583e-08
1.378000000000000000e+03 , 5.732558781884516379e-08
1.379000000000000000e+03 , 5.724247715515177322e-08
1.380000000000000000e+03 , 5.715954710134425108e-08
1.381000000000000000e+03 , 5.707679713448417573e-08
1.382000000000000000e+03 , 5.699422673352446405e-08
